case_id,case_title,primary_abuse_type,severity,opened_at,status,lead_source,pattern_ids,ground_truth_label,summary,analyst_confidence
C-001,Escalating Threat Against a Public Venue,Violent Threat,Critical,2026-07-01T08:00:00+00:00,Closed - Synthetic,Synthetic portfolio scenario,P03|P04|P07|P11,True Positive - Credible High Risk,Escalating Threat Against a Public Venue,High
C-002,Coordinated Harassment Swarm Against a Journalist,Coordinated Abuse,High,2026-07-03T08:00:00+00:00,Closed - Synthetic,Synthetic portfolio scenario,P02|P03|P05|P08|P12,True Positive - Coordinated Harassment,Coordinated Harassment Swarm Against a Journalist,High
C-003,Post-Enforcement Multi-Account Evasion Network,Evasion / Account Network,High,2026-07-05T08:00:00+00:00,Closed - Synthetic,Synthetic portfolio scenario,P01|P05|P06|P09,True Positive - Ban Evasion,Post-Enforcement Multi-Account Evasion Network,High
C-004,Coded Extremist Recruitment Cluster,Extremist Activity,Critical,2026-07-07T08:00:00+00:00,Closed - Synthetic,Synthetic portfolio scenario,P04|P08|P09|P12,True Positive - Recruitment Network,Coded Extremist Recruitment Cluster,High
C-005,Threat Cluster Surrounding a Major Demonstration,Violent Threat,Critical,2026-07-09T08:00:00+00:00,Closed - Synthetic,Synthetic portfolio scenario,P02|P03|P07|P10|P11,Mixed - True Positive plus Benign Speech,Threat Cluster Surrounding a Major Demonstration,High
C-006,Coordinated False Emergency Reports,Coordinated Abuse,High,2026-07-11T08:00:00+00:00,Closed - Synthetic,Synthetic portfolio scenario,P01|P02|P05|P08,True Positive - Coordinated Hoax,Coordinated False Emergency Reports,High
C-007,Copycat Threat Template Targeting Schools,Violent Threat,Critical,2026-07-13T08:00:00+00:00,Closed - Synthetic,Synthetic portfolio scenario,P03|P04|P07|P10,"Mixed - One Credible, Ten Low Credibility",Copycat Threat Template Targeting Schools,High
C-008,Doxxing and Intimidation Support Network,Coordinated Abuse,High,2026-07-15T08:00:00+00:00,Closed - Synthetic,Synthetic portfolio scenario,P03|P06|P08|P09,True Positive - Coordinated Doxxing,Doxxing and Intimidation Support Network,High
C-009,Cross-Regional Harassment Network Using Shared Infrastructure,Evasion / Account Network,High,2026-07-17T08:00:00+00:00,Closed - Synthetic,Synthetic portfolio scenario,P01|P03|P04|P06|P08|P12,True Positive - Coordinated Network,Cross-Regional Harassment Network Using Shared Infrastructure,High
C-010,Benign Mutual-Aid Organizing Misread as Coordination,False-Positive Control,Control,2026-07-19T08:00:00+00:00,Closed - Synthetic,Synthetic portfolio scenario,P02|P04|P05|P10,True Negative - Benign Coordination,Benign Mutual-Aid Organizing Misread as Coordination,Medium
